number,theme,sub_theme,year,set_name,minifigs,pieces,width,height,depth,launch_date,exit_date
6252810-1,Star Wars,Promotional,2018,Han Solo,,23,,,,,
7250-1,Star Wars,Episode III,2005,Clone Scout Walker,1,108,14.4,19.2,6,2/4/05,31/12/2006
75204-1,Star Wars,Legends,2018,Sandspeeder,2,278,,,,,
6964-1,Star Wars,Mini Building Set,2004,Boba Fett's Slave I,,25,,,,,
75327-1,Star Wars,Helmet Collection,2022,Luke Skywalker (Red Five) Helmet,,675,19.1,35.4,9.1,1/3/22,31/12/2023
7252-1,Star Wars,Episode III,2005,Droid Tri-Fighter,1,148,19.2,19.2,6,2/4/05,31/12/2005
75329-1,Star Wars,Diorama Collection,2022,Death Star Trench Run Diorama,,665,28.2,26.2,7.6,26/04/2022,31/12/2023
7958-1,Star Wars,Seasonal,2011,Star Wars Advent Calendar,9,266,38.2,26.2,7.1,1/9/11,31/12/2011
75342-1,Star Wars,The Clone Wars,2022,Republic Fighter Tank,6,262,35.4,19.1,5.9,26/04/2022,31/12/2023
75328-1,Star Wars,Helmet Collection,2022,The Mandalorian Helmet,,584,19.1,35.4,9.1,1/3/22,31/12/2023
75011-1,Star Wars,Planet Set,2013,Tantive IV & Planet Alderaan,1,102,14.1,19.1,8.8,1/1/13,31/12/2013
9509-1,Star Wars,Seasonal,2012,Star Wars Advent Calendar,10,234,38.2,26.19,7.06,1/9/12,31/12/2012
75203-1,Star Wars,Episode V,2018,Hoth Medical Chamber,4,255,35.4,19.1,5.9,1/8/18,31/07/2019
75138-1,Star Wars,Episode V,2016,Hoth Attack,4,233,26.2128,19.1008,6.096,1/1/16,31/12/2016
75279-1,Star Wars,Seasonal,2020,Star Wars Advent Calendar,10,311,0,0,0,1/9/20,31/12/2020
75097-1,Star Wars,Seasonal,2015,Star Wars Advent Calendar,9,292,38.2016,26.1874,7.0612,1/9/15,31/12/2015
5002947-1,Star Wars,Episode IV,2015,Admiral Yularen,1,4,,,,,
75306-1,Star Wars,Episode V,2021,Imperial Probe Droid,,683,19.1,35.4,9.1,26/04/2021,31/12/2022
75028-1,Star Wars,Microfighters,2014,Clone Turbo Tank Microfighter,1,96,14.097,12.192,4.5974,1/1/14,31/07/2015
7668-1,Star Wars,Legends,2008,Rebel Scout Speeder,4,82,19.2,14.4,4.8,1/1/08,31/12/2009
75177-1,Star Wars,The Last Jedi,2017,First Order Heavy Scout Walker,4,554,38.2016,26.2128,5.6388,1/9/17,31/12/2018
7914-1,Star Wars,The Clone Wars,2011,Mandalorian Battle Pack,4,68,19.1,14.1,4.6,1/1/11,31/12/2012
8000-1,Star Wars,Technic,2000,Pit Droid,,223,14.4,24,7.2,1/1/00,31/12/2001
8008-1,Star Wars,Technic,2001,Stormtrooper,,361,24,33.6,6,1/1/01,31/12/2002
